id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
7693,Female,Loyal Customer,24,Business travel,Business,1486,5,3,4,3,3,4,3,3,4,4,1,4,4,3,9,0.0,satisfied
7694,Female,Loyal Customer,49,Personal Travel,Business,1024,2,4,2,3,3,3,4,4,4,4,2,3,3,4,14,13.0,neutral or dissatisfied
7695,Male,Loyal Customer,28,Business travel,Business,643,4,4,3,3,3,3,3,3,3,3,4,4,3,4,1,4.0,satisfied
7696,Female,Loyal Customer,61,Personal Travel,Eco,1839,4,5,3,4,4,4,3,4,3,2,3,3,3,3,1,4.0,neutral or dissatisfied
7697,Male,Loyal Customer,52,Business travel,Eco,319,2,2,3,1,1,2,2,2,3,2,4,2,3,3,49,43.0,neutral or dissatisfied
7698,Male,disloyal Customer,44,Business travel,Eco,1051,1,1,1,1,1,1,2,2,1,1,3,2,2,1,0,0.0,neutral or dissatisfied
7699,Male,Loyal Customer,64,Personal Travel,Eco,569,2,4,2,3,2,2,2,3,2,1,5,3,2,2,0,0.0,neutral or dissatisfied
7700,Male,Loyal Customer,26,Personal Travel,Eco,55,2,1,1,2,1,1,0,0,1,0,4,3,1,1,0,0.0,satisfied
7701,Male,Loyal Customer,42,Personal Travel,Eco,1577,2,3,1,3,1,2,1,2,1,2,4,2,2,2,6,14.0,neutral or dissatisfied
7702,Male,Loyal Customer,7,Business travel,Eco,468,3,5,3,3,3,2,2,3,3,3,3,2,3,3,15,9.0,neutral or dissatisfied
7703,Female,Loyal Customer,32,Business travel,Eco,386,2,3,2,4,3,3,2,3,2,2,2,5,3,2,0,0.0,neutral or dissatisfied
7704,Male,Loyal Customer,20,Business travel,Business,856,4,5,3,5,3,4,4,4,3,4,3,4,3,4,0,0.0,satisfied
7705,Female,Loyal Customer,54,Business travel,Business,31,5,5,5,4,5,5,5,4,4,4,4,3,4,4,12,9.0,satisfied
7706,Male,Loyal Customer,59,Business travel,Business,1913,4,5,4,3,5,5,5,4,5,5,5,3,4,5,0,0.0,satisfied
7707,Female,Loyal Customer,36,Personal Travel,Eco,222,2,5,3,2,2,3,3,2,3,2,4,3,3,2,14,0.0,neutral or dissatisfied
7708,Male,Loyal Customer,74,Business travel,Eco,1672,2,3,2,2,3,3,2,2,4,2,3,2,2,2,6,5.0,neutral or dissatisfied
7709,Male,Loyal Customer,27,Business travel,Eco,487,2,3,4,3,3,3,4,3,3,2,2,4,3,4,35,39.0,satisfied
7710,Female,Loyal Customer,22,Personal Travel,Eco,1469,3,3,2,4,2,3,1,1,2,1,4,1,2,2,3,6.0,neutral or dissatisfied
7711,Male,Loyal Customer,32,Personal Travel,Eco,711,4,5,5,3,3,5,3,2,3,3,3,5,3,2,0,0.0,satisfied
7712,Female,Loyal Customer,46,Business travel,Business,962,3,3,3,3,4,5,4,5,4,3,3,4,4,5,0,0.0,neutral or dissatisfied
7713,Male,Loyal Customer,54,Personal Travel,Eco,727,2,4,5,4,2,3,1,1,2,3,5,2,1,1,0,0.0,neutral or dissatisfied
7714,Female,Loyal Customer,52,Personal Travel,Eco Plus,3361,4,5,4,5,2,4,3,3,2,3,2,3,4,3,1,0.0,neutral or dissatisfied
7715,Female,Loyal Customer,35,Business travel,Eco,1233,0,3,1,4,4,1,3,3,3,3,3,3,3,4,0,0.0,satisfied
7716,Male,Loyal Customer,57,Personal Travel,Eco,185,2,4,3,4,2,3,1,2,1,3,4,3,1,2,0,0.0,satisfied
7717,Male,Loyal Customer,32,Personal Travel,Eco Plus,602,2,3,1,4,3,2,4,4,3,2,2,3,3,4,22,19.0,neutral or dissatisfied
7718,Female,disloyal Customer,84,Personal Travel,Eco,394,3,3,3,4,2,2,4,3,3,3,3,2,2,4,0,0.0,neutral or dissatisfied
7719,Male,Loyal Customer,56,Business travel,Business,580,5,5,4,1,5,5,5,4,5,4,5,2,4,4,0,0.0,satisfied
7720,Female,Loyal Customer,10,Business travel,Business,752,4,2,4,3,4,4,4,4,4,3,1,2,3,4,0,0.0,satisfied
7721,Female,Loyal Customer,33,Personal Travel,Eco,1237,1,2,0,3,3,0,1,2,3,2,5,3,2,2,0,0.0,neutral or dissatisfied
7722,Female,disloyal Customer,29,Business travel,Business,256,5,5,5,3,5,5,5,5,5,5,4,1,5,5,10,12.0,satisfied
7723,Female,Loyal Customer,72,Business travel,Eco,1472,1,3,2,4,3,1,3,3,3,1,4,4,2,3,28,24.0,neutral or dissatisfied
7724,Female,Loyal Customer,26,Business travel,Eco,950,2,5,2,5,2,2,2,1,1,1,3,2,1,2,8,1.0,neutral or dissatisfied
7725,Male,disloyal Customer,7,Personal Travel,Eco,928,4,4,3,2,2,4,3,2,3,2,3,3,3,2,7,3.0,neutral or dissatisfied
7726,Female,Loyal Customer,55,Business travel,Business,2671,4,2,3,2,2,3,4,3,2,2,4,2,3,3,16,7.0,neutral or dissatisfied
7727,Male,Loyal Customer,7,Personal Travel,Eco,2052,2,4,3,2,2,3,3,2,2,2,3,5,3,3,8,6.0,neutral or dissatisfied
7728,Male,Loyal Customer,35,Business travel,Business,274,3,4,4,3,4,3,4,5,3,4,4,4,5,4,1,0.0,satisfied
7729,Male,Loyal Customer,52,Personal Travel,Eco,413,0,3,1,3,2,1,1,2,3,1,4,4,2,2,0,0.0,neutral or dissatisfied
7730,Female,Loyal Customer,34,Business travel,Business,1080,4,3,4,2,4,4,5,5,4,4,2,2,5,5,11,21.0,satisfied
7731,Male,Loyal Customer,62,Personal Travel,Eco,326,2,3,2,2,0,2,2,2,3,2,3,2,2,1,20,1.0,neutral or dissatisfied
7732,Male,Loyal Customer,46,Personal Travel,Eco,2550,1,3,2,2,3,1,2,2,3,2,3,2,3,2,1,1.0,neutral or dissatisfied
7733,Male,Loyal Customer,26,Business travel,Eco,886,2,4,2,4,2,2,2,3,3,2,3,5,2,2,1,0.0,neutral or dissatisfied
7734,Female,Loyal Customer,43,Business travel,Business,1883,4,5,4,2,3,4,3,3,3,3,3,2,2,4,0,0.0,satisfied
7735,Male,disloyal Customer,66,Personal Travel,Business,1494,4,3,3,3,4,4,4,5,3,4,1,5,4,4,2,0.0,neutral or dissatisfied
7736,Female,Loyal Customer,44,Personal Travel,Business,1345,4,4,4,2,4,5,4,4,4,3,3,4,4,4,17,23.0,satisfied
7737,Female,Loyal Customer,48,Business travel,Business,1276,5,5,5,4,4,5,5,5,4,4,2,4,4,4,0,0.0,satisfied
7738,Female,Loyal Customer,47,Business travel,Eco,707,0,2,2,3,4,1,3,3,3,3,5,4,4,4,30,45.0,satisfied
7739,Male,Loyal Customer,29,Personal Travel,Eco Plus,493,4,4,4,3,3,4,5,4,4,4,4,5,4,5,5,5.0,satisfied
7740,Female,Loyal Customer,15,Personal Travel,Eco,895,2,4,2,3,3,2,3,3,3,4,3,4,3,4,0,0.0,satisfied
7741,Male,Loyal Customer,46,Business travel,Business,1131,4,4,5,3,4,4,4,5,4,4,3,3,3,3,0,0.0,neutral or dissatisfied
7742,Female,Loyal Customer,62,Business travel,Business,556,3,3,3,2,4,3,4,5,3,5,4,5,5,4,38,48.0,satisfied
7743,Male,Loyal Customer,49,Business travel,Eco,376,1,4,1,2,1,2,3,2,2,4,4,3,2,3,16,31.0,satisfied
7744,Female,disloyal Customer,20,Personal Travel,Eco,100,3,5,4,4,3,3,2,2,2,3,0,4,2,3,5,15.0,satisfied
7745,Female,Loyal Customer,47,Personal Travel,Eco,547,1,4,2,4,2,2,2,1,2,1,4,3,1,0,5,0.0,neutral or dissatisfied
7746,Male,Loyal Customer,54,Business travel,Eco,472,3,4,3,5,0,2,1,0,1,1,3,2,2,2,2,0.0,neutral or dissatisfied
7747,Female,Loyal Customer,58,Business travel,Eco Plus,1313,4,4,3,3,3,3,3,4,3,2,4,4,5,4,21,5.0,neutral or dissatisfied
7748,Male,Loyal Customer,50,Business travel,Business,321,4,4,3,2,5,4,4,4,5,4,3,3,4,4,3,3.0,neutral or dissatisfied
7749,Female,Loyal Customer,44,Business travel,Business,390,5,4,5,4,3,5,4,4,3,3,5,3,4,4,0,0.0,satisfied
7750,Female,Loyal Customer,31,Personal Travel,Eco Plus,691,3,2,3,3,1,4,3,4,3,3,5,5,2,3,7,17.0,neutral or dissatisfied
7751,Male,disloyal Customer,38,Personal Travel,Eco,1046,0,2,2,0,1,0,1,1,2,1,3,4,2,2,15,25.0,neutral or dissatisfied
7752,Female,Loyal Customer,55,Business travel,Business,771,4,3,3,1,4,5,5,5,4,3,3,3,5,5,19,25.0,satisfied
7753,Male,disloyal Customer,28,Business travel,Business,457,5,5,5,2,4,4,3,3,4,4,3,2,3,3,29,27.0,neutral or dissatisfied
7754,Female,disloyal Customer,27,Business travel,Eco,437,3,3,3,4,1,3,1,1,1,0,2,2,1,1,12,20.0,neutral or dissatisfied
7755,Male,Loyal Customer,51,Personal Travel,Eco,475,2,3,2,4,2,3,4,4,3,4,5,3,3,3,1,10.0,neutral or dissatisfied
7756,Male,disloyal Customer,46,Business travel,Eco,181,3,4,3,3,4,3,4,5,5,5,4,2,5,4,10,14.0,neutral or dissatisfied
7757,Female,Loyal Customer,62,Business travel,Business,833,3,4,5,3,2,5,3,3,3,1,4,2,3,3,39,24.0,satisfied
7758,Male,Loyal Customer,54,Personal Travel,Eco,771,3,3,2,4,3,1,2,3,4,3,4,4,3,3,2,0.0,neutral or dissatisfied
7759,Male,Loyal Customer,32,Business travel,Business,413,4,5,4,4,3,4,5,4,5,5,2,4,5,5,24,35.0,satisfied
7760,Female,Loyal Customer,64,Personal Travel,Eco,1261,2,3,2,2,1,2,1,1,1,1,4,4,3,1,0,0.0,satisfied
7761,Female,Loyal Customer,45,Business travel,Business,744,2,2,3,4,4,3,4,5,5,5,5,5,5,4,0,0.0,neutral or dissatisfied
7762,Male,disloyal Customer,51,Business travel,Eco,2110,2,5,2,4,3,3,3,3,3,2,2,2,3,4,30,23.0,neutral or dissatisfied
7763,Female,Loyal Customer,35,Personal Travel,Eco,999,2,3,2,4,1,3,2,2,2,3,3,2,2,2,42,48.0,neutral or dissatisfied
7764,Male,Loyal Customer,48,Personal Travel,Eco,790,2,3,3,2,4,2,3,4,3,3,4,3,4,3,2,9.0,neutral or dissatisfied
7765,Female,Loyal Customer,33,Personal Travel,Eco,569,4,3,3,3,2,4,3,2,3,1,2,1,3,3,0,0.0,neutral or dissatisfied
7766,Female,Loyal Customer,9,Business travel,Business,2459,5,5,5,2,3,4,3,4,4,3,4,2,3,4,6,6.0,satisfied
7767,Female,Loyal Customer,68,Business travel,Eco Plus,748,4,5,3,2,2,4,2,2,2,2,3,3,2,2,4,3.0,satisfied
7768,Male,Loyal Customer,27,Business travel,Business,904,4,3,4,2,3,4,3,3,4,2,3,2,4,4,5,8.0,neutral or dissatisfied
7769,Male,disloyal Customer,32,Business travel,Eco,444,2,4,3,4,3,3,2,2,3,2,4,3,2,2,6,1.0,neutral or dissatisfied
7770,Female,Loyal Customer,31,Business travel,Business,3976,5,5,4,2,3,4,4,4,5,5,3,4,4,5,20,27.0,satisfied
7771,Male,Loyal Customer,68,Business travel,Business,1377,3,4,3,1,5,3,5,5,4,4,4,3,4,5,7,6.0,satisfied
7772,Male,Loyal Customer,48,Business travel,Business,563,2,5,3,2,2,3,3,4,4,3,4,3,4,4,2,0.0,neutral or dissatisfied
7773,Female,Loyal Customer,50,Business travel,Eco,964,3,5,2,3,2,3,2,3,3,2,3,5,2,4,1,0.0,neutral or dissatisfied
7774,Male,disloyal Customer,55,Business travel,Eco Plus,509,4,4,4,4,4,4,4,4,5,5,5,4,4,4,11,0.0,neutral or dissatisfied
7775,Female,Loyal Customer,52,Business travel,Business,592,3,3,4,2,4,4,5,5,5,4,3,3,5,5,0,0.0,satisfied
7776,Female,Loyal Customer,44,Personal Travel,Eco Plus,728,3,4,4,4,4,4,3,3,3,2,2,3,4,2,0,0.0,neutral or dissatisfied
7777,Male,Loyal Customer,43,Personal Travel,Eco,1346,3,3,2,3,2,2,3,2,3,2,3,4,2,2,0,0.0,neutral or dissatisfied
7778,Male,disloyal Customer,63,Business travel,Business,170,5,4,5,2,4,5,3,4,3,3,4,5,3,4,0,0.0,satisfied
7779,Male,Loyal Customer,22,Business travel,Eco,922,1,2,0,2,3,1,2,2,2,2,3,4,1,2,0,0.0,satisfied
7780,Female,Loyal Customer,27,Personal Travel,Eco,1566,2,1,1,2,4,2,4,5,3,3,4,3,4,4,1,5.0,neutral or dissatisfied
7781,Female,Loyal Customer,50,Business travel,Eco,400,4,4,4,3,3,3,2,2,1,1,3,3,2,2,2,0.0,neutral or dissatisfied
7782,Female,Loyal Customer,45,Personal Travel,Eco,880,1,3,2,3,3,1,3,3,4,3,2,4,3,3,0,0.0,neutral or dissatisfied
7783,Male,Loyal Customer,35,Business travel,Business,2888,5,3,5,4,3,4,4,3,3,3,1,5,4,3,1,4.0,satisfied
7784,Female,Loyal Customer,76,Business travel,Eco Plus,597,5,4,4,2,2,4,4,3,4,4,3,4,4,3,0,0.0,satisfied
7785,Female,Loyal Customer,23,Business travel,Eco,2109,3,5,2,3,3,2,3,3,4,3,3,3,3,3,0,0.0,satisfied
7786,Male,disloyal Customer,41,Personal Travel,Eco,799,3,3,4,2,2,4,2,2,1,3,4,3,3,3,67,82.0,neutral or dissatisfied
7787,Male,Loyal Customer,45,Business travel,Eco,1741,4,5,4,4,2,4,2,2,2,2,4,3,1,2,0,0.0,neutral or dissatisfied
7788,Female,disloyal Customer,34,Business travel,Business,542,5,5,4,3,5,5,4,5,4,4,4,2,4,5,0,0.0,satisfied
7789,Female,Loyal Customer,30,Business travel,Business,508,4,5,5,4,4,4,4,5,5,4,0,5,5,5,1,6.0,satisfied
7790,Male,Loyal Customer,36,Business travel,Business,686,3,4,4,4,4,3,5,5,5,4,3,1,5,5,0,0.0,satisfied
7791,Male,Loyal Customer,64,Personal Travel,Eco,851,0,1,1,1,1,1,3,3,3,1,4,2,3,2,72,80.0,neutral or dissatisfied
7792,Male,Loyal Customer,35,Business travel,Business,534,4,5,5,2,3,4,3,3,3,3,3,3,3,3,15,21.0,satisfied
7793,Male,Loyal Customer,46,Business travel,Business,765,3,4,3,2,4,2,3,5,2,4,4,2,4,4,18,22.0,neutral or dissatisfied
7794,Male,Loyal Customer,31,Business travel,Eco Plus,879,3,2,3,4,3,3,2,3,2,2,3,2,3,2,0,0.0,neutral or dissatisfied
7795,Male,Loyal Customer,51,Business travel,Business,411,5,5,5,4,4,5,5,4,4,3,4,2,5,5,7,0.0,satisfied
7796,Female,Loyal Customer,56,Personal Travel,Eco,959,1,5,1,2,2,3,2,2,1,1,2,3,2,2,1,11.0,neutral or dissatisfied
7797,Female,Loyal Customer,37,Personal Travel,Eco,651,3,5,2,1,2,2,2,2,2,2,4,3,2,2,5,2.0,neutral or dissatisfied
7798,Male,disloyal Customer,51,Business travel,Eco,1108,2,2,1,2,2,1,3,2,3,1,2,4,3,2,2,14.0,neutral or dissatisfied
7799,Female,Loyal Customer,38,Business travel,Business,1147,4,4,5,3,5,3,5,5,4,5,2,4,4,5,0,0.0,satisfied
7800,Female,Loyal Customer,41,Personal Travel,Eco,990,2,5,2,3,2,3,1,1,1,1,5,3,1,2,2,0.0,neutral or dissatisfied
7801,Male,Loyal Customer,47,Business travel,Eco,653,1,3,2,3,1,2,2,2,2,2,2,3,1,2,24,28.0,neutral or dissatisfied
7802,Female,Loyal Customer,45,Business travel,Business,1332,5,5,5,3,4,5,4,5,3,3,4,3,3,4,31,40.0,satisfied
7803,Male,Loyal Customer,44,Business travel,Business,151,3,4,4,2,4,3,5,4,4,5,3,3,4,5,0,0.0,satisfied
7804,Female,Loyal Customer,18,Business travel,Business,2444,4,5,4,2,4,4,3,4,3,3,4,4,4,4,8,8.0,satisfied
7805,Male,Loyal Customer,21,Business travel,Business,779,4,5,5,3,2,5,4,3,3,3,3,4,2,3,8,5.0,satisfied
7806,Male,Loyal Customer,14,Business travel,Business,738,5,5,4,2,4,5,3,4,2,3,3,2,4,4,0,0.0,satisfied
7807,Male,Loyal Customer,19,Personal Travel,Business,1146,4,4,4,3,4,3,4,4,4,4,4,4,5,5,14,23.0,neutral or dissatisfied
7808,Male,Loyal Customer,47,Business travel,Business,324,3,3,4,5,2,3,4,3,3,3,3,2,3,3,1,5.0,neutral or dissatisfied
7809,Female,disloyal Customer,35,Personal Travel,Eco,437,1,4,2,3,3,2,3,2,3,3,4,5,3,4,22,26.0,neutral or dissatisfied
7810,Male,Loyal Customer,31,Business travel,Business,804,5,5,5,4,4,5,5,5,5,3,5,3,5,5,24,12.0,neutral or dissatisfied
7811,Female,Loyal Customer,67,Business travel,Business,2284,4,5,3,2,5,3,4,5,5,4,3,1,5,4,0,0.0,satisfied
7812,Male,Loyal Customer,58,Business travel,Eco,457,2,3,2,3,2,2,3,2,3,2,0,2,1,3,0,0.0,neutral or dissatisfied
7813,Female,Loyal Customer,16,Business travel,Business,1334,3,5,4,5,5,5,4,4,4,3,5,2,5,4,16,32.0,satisfied
7814,Male,Loyal Customer,27,Business travel,Eco,666,1,2,1,3,2,0,2,2,3,1,2,5,1,1,18,11.0,neutral or dissatisfied
7815,Female,Loyal Customer,26,Business travel,Business,446,4,3,4,3,2,4,4,3,4,3,4,3,3,3,13,17.0,satisfied
7816,Male,Loyal Customer,41,Business travel,Business,727,4,4,4,2,5,4,3,5,4,2,2,1,4,3,36,32.0,satisfied
7817,Female,Loyal Customer,21,Business travel,Eco,392,3,2,3,3,1,3,2,1,1,1,3,4,1,0,2,8.0,neutral or dissatisfied
7818,Female,Loyal Customer,30,Business travel,Business,1720,4,4,4,3,4,3,5,5,5,4,4,4,4,5,28,29.0,satisfied
7819,Male,disloyal Customer,46,Business travel,Business,2255,4,4,4,5,4,4,4,3,3,3,3,3,4,3,1,2.0,neutral or dissatisfied
7820,Female,Loyal Customer,38,Business travel,Business,809,5,3,4,4,4,4,3,5,4,4,2,2,4,3,0,0.0,satisfied
7821,Male,Loyal Customer,20,Business travel,Eco Plus,1223,2,3,3,4,4,2,3,4,2,2,3,4,3,3,5,9.0,neutral or dissatisfied
7822,Male,Loyal Customer,42,Personal Travel,Business,1372,3,4,3,2,4,3,4,5,4,2,2,2,4,4,33,20.0,neutral or dissatisfied
7823,Female,Loyal Customer,42,Personal Travel,Eco,634,3,2,2,2,2,1,2,1,3,2,5,5,2,1,8,0.0,neutral or dissatisfied
7824,Male,Loyal Customer,43,Personal Travel,Eco,1457,1,2,1,2,2,0,2,2,2,3,3,4,2,2,30,34.0,neutral or dissatisfied
7825,Female,disloyal Customer,19,Personal Travel,Eco,2384,1,3,1,2,2,2,3,3,2,3,2,3,2,3,0,0.0,neutral or dissatisfied
7826,Female,Loyal Customer,55,Business travel,Business,1005,5,4,4,2,4,5,5,5,4,5,3,2,4,5,8,0.0,satisfied
7827,Female,Loyal Customer,33,Business travel,Eco,967,1,3,1,2,5,1,4,4,4,5,5,5,4,4,1,0.0,neutral or dissatisfied
7828,Female,Loyal Customer,23,Business travel,Business,387,4,4,4,4,5,3,4,5,4,2,3,3,4,4,12,10.0,satisfied
7829,Female,Loyal Customer,41,Business travel,Business,156,5,3,4,3,2,4,3,3,2,0,4,3,3,3,4,3.0,satisfied
7830,Female,Loyal Customer,50,Personal Travel,Eco,401,3,3,3,2,1,3,1,1,1,2,3,4,2,1,12,29.0,neutral or dissatisfied
7831,Female,disloyal Customer,49,Personal Travel,Eco,2518,1,4,1,2,4,1,3,3,2,3,1,3,2,2,0,0.0,neutral or dissatisfied
7832,Female,Loyal Customer,59,Business travel,Eco,588,2,3,2,2,2,1,2,2,3,2,3,4,2,3,0,0.0,neutral or dissatisfied
7833,Male,Loyal Customer,30,Personal Travel,Eco,2114,3,5,3,5,2,4,2,1,4,2,3,5,2,2,6,2.0,neutral or dissatisfied
7834,Female,Loyal Customer,16,Personal Travel,Eco,173,2,3,2,5,3,3,3,3,4,2,4,5,2,2,0,0.0,neutral or dissatisfied
7835,Female,Loyal Customer,35,Business travel,Eco,1285,3,3,3,4,2,2,2,1,2,2,3,3,1,2,19,6.0,neutral or dissatisfied
7836,Female,Loyal Customer,7,Business travel,Eco,703,2,2,2,3,3,1,3,3,3,1,5,5,2,2,0,0.0,neutral or dissatisfied
7837,Male,Loyal Customer,27,Personal Travel,Eco,3217,2,3,3,2,2,3,3,3,3,2,4,4,2,2,5,26.0,neutral or dissatisfied
7838,Female,Loyal Customer,35,Personal Travel,Eco,1224,3,4,3,3,2,3,3,4,4,3,3,4,4,4,11,3.0,neutral or dissatisfied
7839,Female,Loyal Customer,33,Business travel,Business,1190,4,4,5,4,5,5,5,5,5,5,4,4,4,5,16,27.0,satisfied
7840,Female,Loyal Customer,48,Business travel,Eco,1876,4,2,3,2,2,2,3,3,3,3,3,2,4,3,0,0.0,neutral or dissatisfied
7841,Male,disloyal Customer,40,Personal Travel,Eco Plus,967,3,4,3,2,2,4,2,2,2,3,2,0,2,3,0,0.0,neutral or dissatisfied
7842,Female,Loyal Customer,47,Personal Travel,Eco,294,3,2,3,3,2,3,3,2,2,3,2,3,3,3,1,0.0,satisfied
7843,Male,Loyal Customer,44,Business travel,Business,1720,3,3,3,3,4,3,4,5,5,4,2,2,5,5,0,0.0,satisfied
7844,Male,Loyal Customer,18,Personal Travel,Eco,250,1,3,1,4,3,2,4,4,5,4,3,3,3,4,34,32.0,neutral or dissatisfied
7845,Female,Loyal Customer,49,Business travel,Business,360,3,5,3,1,4,3,5,5,5,5,2,3,5,5,0,0.0,satisfied
7846,Female,Loyal Customer,32,Personal Travel,Eco,612,2,3,2,3,2,2,1,3,3,1,3,4,3,1,18,17.0,neutral or dissatisfied
7847,Male,Loyal Customer,43,Business travel,Business,481,3,3,2,3,5,2,5,5,5,5,4,2,4,5,0,0.0,satisfied
7848,Female,Loyal Customer,47,Personal Travel,Eco,1506,3,4,2,3,2,1,2,1,3,3,2,3,3,2,0,0.0,neutral or dissatisfied
7849,Female,Loyal Customer,28,Personal Travel,Eco Plus,1535,3,3,4,2,5,3,4,4,4,4,2,3,4,4,11,9.0,neutral or dissatisfied
7850,Female,Loyal Customer,30,Personal Travel,Eco Plus,3860,2,4,3,2,4,3,4,4,5,3,2,4,3,4,0,0.0,neutral or dissatisfied
7851,Female,Loyal Customer,41,Business travel,Business,1507,3,4,4,4,4,3,4,4,4,5,3,4,5,5,23,28.0,satisfied
7852,Male,disloyal Customer,33,Personal Travel,Eco,1029,2,4,2,1,2,3,2,2,2,1,3,3,2,2,26,24.0,neutral or dissatisfied
7853,Male,Loyal Customer,66,Business travel,Business,561,2,1,4,4,2,3,3,4,3,3,4,3,2,4,0,0.0,neutral or dissatisfied
7854,Male,Loyal Customer,40,Business travel,Eco Plus,2677,2,3,1,2,3,1,3,3,3,3,3,4,2,2,13,3.0,neutral or dissatisfied
7855,Female,Loyal Customer,23,Business travel,Business,895,5,5,5,3,4,5,5,5,5,3,3,4,5,5,0,0.0,neutral or dissatisfied
7856,Male,Loyal Customer,71,Business travel,Business,443,2,4,2,3,3,3,4,4,4,3,2,5,3,4,0,0.0,satisfied
7857,Male,Loyal Customer,45,Business travel,Eco,810,3,2,3,4,2,3,1,2,0,1,3,3,2,0,12,22.0,neutral or dissatisfied
7858,Female,Loyal Customer,39,Business travel,Eco,2322,4,3,3,5,3,4,3,3,4,2,2,2,4,2,16,2.0,neutral or dissatisfied
7859,Female,disloyal Customer,63,Business travel,Business,530,4,5,5,4,3,4,2,3,2,3,2,4,4,3,38,49.0,satisfied
7860,Female,Loyal Customer,45,Business travel,Eco,3216,2,3,1,2,2,2,1,3,3,3,2,4,3,2,0,0.0,satisfied
7861,Female,Loyal Customer,39,Personal Travel,Eco,1919,2,2,3,2,4,3,2,4,2,2,3,5,3,2,19,11.0,neutral or dissatisfied
7862,Female,Loyal Customer,16,Business travel,Eco,440,1,1,2,2,3,0,2,2,1,1,2,2,1,2,10,6.0,neutral or dissatisfied
7863,Male,Loyal Customer,7,Business travel,Business,599,4,5,5,1,2,4,4,5,4,3,4,3,4,4,2,22.0,neutral or dissatisfied
7864,Male,Loyal Customer,58,Business travel,Business,2113,4,4,5,3,5,5,5,5,5,4,3,3,5,5,0,0.0,satisfied
7865,Male,Loyal Customer,44,Business travel,Business,266,5,3,4,4,3,5,3,3,3,3,3,3,3,3,6,7.0,satisfied
7866,Male,Loyal Customer,37,Business travel,Business,1196,5,5,4,4,5,4,4,5,5,4,3,3,5,4,12,0.0,satisfied
7867,Male,Loyal Customer,38,Business travel,Eco,2174,2,3,2,4,3,1,2,2,2,3,1,3,3,3,0,0.0,neutral or dissatisfied
7868,Female,Loyal Customer,45,Personal Travel,Eco,815,2,3,2,3,2,2,2,2,2,2,4,3,3,2,10,0.0,neutral or dissatisfied
7869,Female,Loyal Customer,50,Personal Travel,Eco,2625,1,2,2,2,2,2,3,2,3,3,2,5,2,2,29,25.0,neutral or dissatisfied
7870,Male,Loyal Customer,28,Business travel,Business,1645,5,5,5,1,4,4,4,4,3,3,2,5,4,4,24,21.0,satisfied
7871,Male,Loyal Customer,43,Business travel,Business,1019,3,5,3,2,4,3,4,4,4,2,1,4,5,3,37,39.0,satisfied
7872,Male,Loyal Customer,48,Business travel,Business,1335,5,5,5,3,5,5,5,5,4,4,3,2,5,5,13,18.0,satisfied
7873,Female,Loyal Customer,32,Business travel,Business,1360,4,4,4,3,5,4,5,5,4,4,3,2,4,4,0,0.0,satisfied
7874,Female,Loyal Customer,7,Business travel,Business,1376,5,5,5,3,3,5,3,3,3,3,3,3,3,3,47,42.0,satisfied
7875,Male,Loyal Customer,28,Business travel,Business,664,5,5,5,5,4,5,5,5,5,5,3,3,5,5,0,0.0,satisfied
7876,Male,Loyal Customer,20,Business travel,Business,108,5,5,4,2,4,4,5,4,4,4,2,4,5,5,1,0.0,satisfied
7877,Male,Loyal Customer,58,Business travel,Eco,1452,1,3,1,4,2,1,2,2,1,2,4,1,2,2,23,19.0,neutral or dissatisfied
7878,Male,Loyal Customer,26,Personal Travel,Eco,1112,2,4,2,2,2,2,2,1,3,2,5,2,1,2,3,0.0,neutral or dissatisfied
7879,Male,disloyal Customer,25,Business travel,Eco,149,1,4,1,2,1,1,2,1,1,1,1,3,2,1,35,46.0,neutral or dissatisfied
7880,Male,disloyal Customer,30,Business travel,Business,910,5,5,4,2,4,4,5,5,4,4,5,3,5,5,42,37.0,neutral or dissatisfied
7881,Male,Loyal Customer,53,Personal Travel,Eco Plus,612,2,4,2,3,2,2,3,3,3,3,3,1,2,2,0,0.0,neutral or dissatisfied
7882,Male,Loyal Customer,53,Business travel,Eco,793,1,3,2,2,1,2,2,2,2,2,4,4,3,3,6,18.0,neutral or dissatisfied
7883,Female,Loyal Customer,28,Business travel,Eco Plus,1037,4,4,3,4,3,5,3,3,3,3,4,1,4,2,0,0.0,satisfied
7884,Female,Loyal Customer,33,Business travel,Eco,723,3,5,3,0,2,4,3,3,4,2,4,3,4,3,0,0.0,satisfied
7885,Female,Loyal Customer,37,Personal Travel,Eco,643,1,3,1,4,3,1,3,3,3,2,3,2,2,2,28,5.0,neutral or dissatisfied
7886,Female,Loyal Customer,61,Business travel,Business,56,3,5,3,3,3,2,5,5,5,5,4,3,5,5,1,0.0,satisfied
7887,Female,Loyal Customer,9,Business travel,Business,555,4,5,4,4,4,4,4,4,4,2,3,3,4,4,13,19.0,satisfied
7888,Male,Loyal Customer,19,Business travel,Eco,678,2,5,3,2,1,2,2,1,1,2,4,3,1,2,0,0.0,neutral or dissatisfied
